case_name,t,n,p,a,total_mass,eigenvalue,buckling_pressure
0,8,,0,0,0.307,1.0506,0.10506
G01_t8_n8_P300_A100,8,8,300,100,3.70315569e-01,1.26600000e+01,1.26600000e+00
G02_t7_n8_P305_A75,7,8,305,75,3.01085559e-01,8.08160000e+00,8.08160000e-01
G03_t6_n11_P225_A70,6,11,225,70,2.73940748e-01,8.13120000e+00,8.13120000e-01
G04_t7_n9_P260_A60,7,9,260,60,2.96073298e-01,5.14820000e+00,5.14820000e-01
G05_t6p5_n9_P280_A75,6.5,9,280,75,2.86334075e-01,7.97380000e+00,7.97380000e-01
G06_t7p5_n7_P350_A105,7.5,7,350,105,3.38165466e-01,9.24230000e+00,9.24230000e-01
G07_t8_n6_P395_A120,8,6,395,120,3.59317126e-01,9.06970000e+00,9.06970000e-01
G08_t6_n11_P220_A80,6,11,220,80,2.86237735e-01,9.38960000e+00,9.38960000e-01
G09_t6p5_n7_P360_A110,6.5,7,360,110,2.96075965e-01,6.58570000e+00,6.58570000e-01
G10_t4_n11_P225_A70,4,11,225,70,1.82412576e-01,3.65940000e+00,3.65940000e-01
G11_t3p5_n11_P225_A70,3.5,11,225,70,1.59564062e-01,2.73390000e+00,2.73390000e-01
G12_t3_n11_P225_A70,3,11,225,70,1.36728961e-01,1.93570000e+00,1.93570000e-01
G13_t2p8_n11_P225_A70,2.8,11,225,70,1.27598675e-01,1.65330000e+00,1.65330000e-01
G14_t4_n11_P220_A80,4,11,220,80,1.90600710e-01,4.20280000e+00,4.20280000e-01
G15_t3p5_n11_P220_A80,3.5,11,220,80,1.66726523e-01,2.85680000e+00,2.85680000e-01
G16_t3_n11_P220_A80,3,11,220,80,1.42866365e-01,1.82700000e+00,1.82700000e-01
G17_t2p8_n11_P220_A80,2.8,11,220,80,1.33326229e-01,1.49510000e+00,1.49510000e-01
G18_t4_n11_P225_A50,4,11,225,50,1.68996795e-01,1.76430000e+00,1.76430000e-01
G19_t3p5_n11_P225_A50,3.5,11,225,50,1.47828729e-01,1.45650000e+00,1.45650000e-01
G20_t4_n10_P240_A60,4,10,240,60,1.72065754e-01,2.48450000e+00,2.48450000e-01
G21_t3p5_n10_P240_A60,3.5,10,240,60,1.50513226e-01,1.84210000e+00,1.84210000e-01
G22_t3p5_n10_P240_A80,3.5,10,240,80,1.61754750e-01,2.51900000e+00,2.51900000e-01
G23_t4_n12_P200_A60,4,12,200,60,1.79584797e-01,3.38380000e+00,3.38380000e-01
G24_t3p5_n12_P200_A60,3.5,12,200,60,1.57090458e-01,2.54990000e+00,2.54990000e-01
G25_t3_n12_P200_A80,3,12,200,80,1.47472941e-01,1.59320000e+00,1.59320000e-01
G26_t4_n9_P270_A60,4,9,270,60,1.68553261e-01,2.12270000e+00,2.12270000e-01
G27_t3p5_n9_P270_A60,3.5,9,270,60,1.47440712e-01,1.56840000e+00,1.56840000e-01
G118_t4p5_n11_P240_A75,4.5,11,240,75,2.08E-01,3.28E+00,3.28E-01
G119_t4p5_n10_P260_A80,4.5,10,260,80,2.07E-01,3.68E+00,3.68E-01
G120_t4p5_n12_P220_A70,4.5,12,220,70,2.09E-01,3.69E+00,3.69E-01
G121_t4p5_n11_P240_A80,4.5,11,240,80,2.13E-01,3.28E+00,3.28E-01
G122_t4p75_n11_P240_A70,4.75,11,240,70,2.15E-01,3.68E+00,3.68E-01
G123_t4p75_n12_P220_A65,4.75,12,220,65,2.16E-01,4.18E+00,4.18E-01
G124_t4p75_n10_P260_A75,4.75,10,260,75,2.14E-01,4.04E+00,4.04E-01
G125_t5_n10_P260_A70,5,10,260,70,2.21E-01,4.46E+00,4.46E-01
G126_t5_n12_P220_A60,5,12,220,60,2.23E-01,4.73E+00,4.73E-01
G127_t5_n11_P240_A65,5,11,240,65,2.22E-01,4.11E+00,4.11E-01
G128_t5_n9_P290_A80,5,9,290,80,2.23E-01,3.69E+00,3.69E-01
G129_t5p25_n9_P290_A70,5.25,9,290,70,2.27E-01,4.02E+00,4.02E-01
G130_t5p25_n10_P260_A65,5.25,10,260,65,2.29E-01,5.06E+00,5.06E-01
G131_t5p25_n12_P220_A60,5.25,12,220,60,2.34E-01,5.38E+00,5.38E-01
G132_t5p5_n9_P290_A75,5.5,9,290,75,2.42E-01,4.49E+00,4.49E-01
G133_t5p5_n8_P330_A80,5.5,8,330,80,2.38E-01,3.19E+00,3.19E-01
G134_t5p75_n8_P330_A70,5.75,8,330,70,2.43E-01,2.76E+00,2.76E-01
G135_t5p75_n7_P375_A90,5.75,7,375,90,2.49E-01,3.30E+00,3.30E-01
G136_t6_n7_P375_A80,6,7,375,80,2.54E-01,3.01E+00,3.01E-01
G137_t6_n6_P395_A110,6,6,395,110,2.63E-01,4.18E+00,4.18E-01
