case_name,t,n,p,a,n_times_p,total_mass,eigenvalue,buckling_pressure,mass_reduction,buckling_margin
G51_t2p801_n11_P214_A51,2.801367,11.0,214.0,51.0,2354.0,0.119048428,1.2108,0.12108,0.6122201042345277,0.016019999999999993
G13_t2p8_n11_P225_A70,2.8,11.0,225.0,70.0,2475.0,0.127598675,1.6533,0.16533,0.5843691368078177,0.060270000000000004
G17_t2p8_n11_P220_A80,2.8,11.0,220.0,80.0,2420.0,0.133326229,1.4951,0.14951,0.5657126091205211,0.04445
G12_t3_n11_P225_A70,3.0,11.0,225.0,70.0,2475.0,0.136728961,1.9357,0.19357,0.5546287915309446,0.08850999999999999
G16_t3_n11_P220_A80,3.0,11.0,220.0,80.0,2420.0,0.142866365,1.827,0.1827,0.5346372475570033,0.07764
G27_t3p5_n9_P270_A60,3.5,9.0,270.0,60.0,2430.0,0.147440712,1.5684,0.15684,0.5197370944625407,0.05178000000000001
G25_t3_n12_P200_A80,3.0,12.0,200.0,80.0,2400.0,0.147472941,1.5932,0.15932,0.5196321140065147,0.05425999999999999
G19_t3p5_n11_P225_A50,3.5,11.0,225.0,50.0,2475.0,0.147828729,1.4565,0.14565,0.5184731954397395,0.04059
G21_t3p5_n10_P240_A60,3.5,10.0,240.0,60.0,2400.0,0.150513226,1.8421,0.18421,0.5097289055374592,0.07915000000000001
G24_t3p5_n12_P200_A60,3.5,12.0,200.0,60.0,2400.0,0.157090458,2.5499,0.25499,0.48830469706840396,0.14993
G11_t3p5_n11_P225_A70,3.5,11.0,225.0,70.0,2475.0,0.159564062,2.7339,0.27339,0.48024735504885996,0.16833000000000004
G22_t3p5_n10_P240_A80,3.5,10.0,240.0,80.0,2400.0,0.16175475,2.519,0.2519,0.4731115635179153,0.14684000000000003
G15_t3p5_n11_P220_A80,3.5,11.0,220.0,80.0,2420.0,0.166726523,2.8568,0.28568,0.4569168631921824,0.18062
G26_t4_n9_P270_A60,4.0,9.0,270.0,60.0,2430.0,0.168553261,2.1227,0.21227,0.45096657654723127,0.10720999999999999
G18_t4_n11_P225_A50,4.0,11.0,225.0,50.0,2475.0,0.168996795,1.7643,0.17643,0.4495218403908795,0.07137
G20_t4_n10_P240_A60,4.0,10.0,240.0,60.0,2400.0,0.172065754,2.4845,0.24845,0.43952523127035836,0.14339000000000002
G23_t4_n12_P200_A60,4.0,12.0,200.0,60.0,2400.0,0.179584797,3.3838,0.33838,0.41503323452768737,0.23332000000000003
G10_t4_n11_P225_A70,4.0,11.0,225.0,70.0,2475.0,0.182412576,3.6594,0.36594,0.40582222801302936,0.26088
G14_t4_n11_P220_A80,4.0,11.0,220.0,80.0,2420.0,0.19060071,4.2028,0.42028,0.37915078175895767,0.31522
G03_t6_n11_P225_A70,6.0,11.0,225.0,70.0,2475.0,0.273940748,8.1312,0.81312,0.10768485993485333,0.7080599999999999
G08_t6_n11_P220_A80,6.0,11.0,220.0,80.0,2420.0,0.286237735,9.3896,0.93896,0.06762952768729646,0.8339
G05_t6p5_n9_P280_A75,6.5,9.0,280.0,75.0,2520.0,0.286334075,7.9738,0.79738,0.06731571661237779,0.6923199999999999
G04_t7_n9_P260_A60,7.0,9.0,260.0,60.0,2340.0,0.296073298,5.1482,0.51482,0.03559186319218244,0.40976000000000007
G09_t6p5_n7_P360_A110,6.5,7.0,360.0,110.0,2520.0,0.296075965,6.5857,0.65857,0.03558317589576543,0.55351
G02_t7_n8_P305_A75,7.0,8.0,305.0,75.0,2440.0,0.301085559,8.0816,0.80816,0.01926528013029316,0.7031
G06_t7p5_n7_P350_A105,7.5,7.0,350.0,105.0,2450.0,0.338165466,9.2423,0.92423,-0.10151617589576567,0.81917
G07_t8_n6_P395_A120,8.0,6.0,395.0,120.0,2370.0,0.359317126,9.0697,0.90697,-0.17041409120521167,0.80191
G01_t8_n8_P300_A100,8.0,8.0,300.0,100.0,2400.0,0.370315569,12.66,1.266,-0.2062396384364822,1.16094
