case_name,thickness_shell,longitude_num,latitude_num,rib_levels,longitude_height,latitude_height,longitude_thickness,latitude_thickness,longitude_rib_boundary_angle,top_unribbed_cap_angle,total_mass,eigenvalue,buckling_pressure
0,4,0,0,0,0,0,0,0,0,0,0.0348,5.3431,0.53431
G01_t4_nlon8_nlat8,4,8,8,2,20,20,2,2,60,10,5.59603923e-02,3.06390000e+00,3.06390000e+00
G02_t4p35_nlon11_nlat11,4.35,11,11,2,28.6,26.3,3.05,3.05,66,19,9.79352122e-02,5.97310000e+00,5.97310000e+00
G03_t4p82_nlon9_nlat4,4.82,9,4,2,33.8,32.5,2.3,2.3,53.4,6.5,8.68289813e-02,4.07910000e+00,4.07910000e+00
G04_t4p29_nlon7_nlat9,4.29,7,9,2,21.1,19.3,1.87,1.87,64.3,16.6,5.62009754e-02,2.41130000e+00,2.41130000e+00
G05_t4p63_nlon10_nlat7,4.63,10,7,2,10.3,13.4,2.53,2.53,49.2,8.3,5.74911433e-02,1.74960000e+00,1.74960000e+00
G06_t2p79_nlon5_nlat8,2.79,5,8,2,11.6,7.3,0.78,1.31,60,25,2.89166040e-02,4.49860000e-01,4.49860000e-01
G07_t3p84_nlon5_nlat6,3.84,5,6,2,10.7,12.7,1.01,0.86,46,25,3.95053365e-02,8.96440000e-01,8.96440000e-01
G09_t3p78_nlon6_nlat4,3.78,6,4,2,12.9,13.4,0.77,1.2,58,34,4.13725464e-02,8.98800000e-01,8.98800000e-01
G10_t3p18_nlon4_nlat5,3.18,4,5,2,12.3,11,0.88,0.69,65,24,3.24482233e-02,6.60580000e-01,6.60580000e-01
G11_t3_nlon8_nlat4,3,8,4,2,8.1,6.3,1.04,1.05,48,37,3.45156354e-02,5.31940000e-01,5.31940000e-01
G12_t3p68_nlon6_nlat5,3.68,6,5,2,7.2,6.7,0.62,1.47,56,22,3.56083142e-02,6.20940000e-01,6.20940000e-01
G14_t3p33_nlon6_nlat3,3.33,6,3,2,4.1,13,0.71,1.13,54,39,3.62562819e-02,4.91650000e-01,4.91650000e-01
G15_t2p68_nlon7_nlat7,2.68,7,7,2,6.1,11.4,1.17,1,63,31,2.93576065e-02,5.53890000e-01,5.53890000e-01
G16_t2p62_nlon7_nlat7,2.62,7,7,2,6.4,11.8,1.18,1.05,63,31,2.89550919e-02,5.59210000e-01,5.59210000e-01
G17_t2p58_nlon8_nlat7,2.58,8,7,2,6.8,12,1.25,1.05,64,30,2.92395050e-02,6.06760000e-01,6.06760000e-01
G18_t2p75_nlon6_nlat6,2.75,6,6,2,8,11.5,1.05,1,62,30,2.98356395e-02,5.62860000e-01,5.62860000e-01
G20_t2p95_nlon4_nlat5,2.95,4,5,2,10.5,11.5,0.82,0.72,65,26,3.00980884e-02,5.52430000e-01,5.52430000e-01
G21_t2p9_nlon6_nlat5,2.9,6,5,2,8,10,1.15,0.9,60,32,3.18834337e-02,5.61980000e-01,5.61980000e-01
G23_t2p55_nlon7_nlat8,2.55,7,8,2,7.5,12.5,1.25,1.1,62,28,2.85753232e-02,5.94050000e-01,5.94050000e-01
G24_t2p65_nlon8_nlat6,2.65,8,6,2,5.5,10.5,1.3,0.95,61,34,2.99991276e-02,5.53550000e-01,5.53550000e-01
G25_t2p95_nlon6_nlat4,2.95,6,4,2,12,13.5,0.85,1.2,58,34,3.31886845e-02,6.62410000e-01,6.62410000e-01
G26_t2p8_nlon7_nlat5,2.8,7,5,2,6,9.5,1.1,1.15,64,36,3.13052898e-02,5.22550000e-01,5.22550000e-01
G27_t3p1_nlon4_nlat5,3.1,4,5,2,9,10,0.8,0.75,65,30,3.19235753e-02,5.68560000e-01,5.68560000e-01
G28_t2p6_nlon6_nlat7,2.6,6,7,2,7,12,1.35,0.9,67,32,2.91974254e-02,5.78410000e-01,5.78410000e-01
G29_t2p88_nlon8_nlat4,2.88,8,4,2,9,7.5,1.15,1.1,50,37,3.41351947e-02,5.53460000e-01,5.53460000e-01
G30_t3p15_nlon5_nlat4,3.15,5,4,2,9,13,0.75,1.35,55,35,3.40064061e-02,6.82300000e-01,6.82300000e-01
G31_t2p44_nlon6_nlat8,2.44,6,8,2,6.3,12.4,1.4,1.3,59,34,2.78623039e-02,5.57400000e-01,5.57400000e-01
G33_t2p49_nlon6_nlat7,2.49,6,7,2,7.5,11.4,0.97,0.98,68,26,2.63707796e-02,4.95850000e-01,4.95850000e-01
G34_t2p57_nlon5_nlat7,2.57,5,7,2,6.9,11.2,1.05,0.85,65,37,2.87428779e-02,5.23240000e-01,5.23240000e-01
G35_t2p64_nlon9_nlat6,2.64,9,6,2,6.6,12.7,1.5,1.08,62,34,3.17511724e-02,6.88430000e-01,6.88430000e-01
G36_t2p61_nlon7_nlat5,2.61,7,5,2,8.4,13.5,1.3,1.16,68,30,3.01024960e-02,6.63570000e-01,6.63570000e-01
G37_t2p53_nlon9_nlat8,2.53,9,8,2,8.8,11.7,1.51,1.32,65,33,3.20463604e-02,6.82440000e-01,6.82440000e-01
G38_t2p47_nlon6_nlat9,2.47,6,9,2,6.6,11.6,1.06,1.33,64,36,2.78316567e-02,5.06920000e-01,5.06920000e-01
G39_t2p63_nlon8_nlat7,2.63,8,7,2,8,9.6,1.45,0.94,67,31,3.11118865e-02,5.80140000e-01,5.80140000e-01
G40_t2p5_nlon9_nlat5,2.5,9,5,2,9.5,10.8,1.13,0.85,60,25,2.92048392e-02,5.57530000e-01,5.57530000e-01
G42_t2p56_nlon8_nlat6,2.56,8,6,2,7.8,13.9,1.33,1.25,60,34,3.06554506e-02,6.92360000e-01,6.92360000e-01
G43_t2p53_nlon7_nlat8,2.53,7,8,2,9.7,11.3,1.31,0.93,63,32,3.02036135e-02,5.83520000e-01,5.83520000e-01
G45_t2p67_nlon5_nlat7,2.67,5,7,2,9,13.5,1.07,0.96,66,26,2.84587388e-02,6.26630000e-01,6.26630000e-01
G46_t2p6_nlon6_nlat9,2.6,6,9,2,10.4,13.1,1.12,1.33,65,35,3.05031523e-02,6.46050000e-01,6.46050000e-01
G47_t2p57_nlon6_nlat8,2.57,6,8,2,7.1,10.6,1.36,1.02,60,27,2.81471079e-02,5.44330000e-01,5.44330000e-01
G48_t2p5_nlon8_nlat6,2.5,8,6,2,6.2,12.5,1.43,1.28,62,29,2.86210707e-02,6.12900000e-01,6.12900000e-01
G49_t2p68_nlon6_nlat8,2.68,6,8,2,8.9,13.8,1.02,1.12,64,25,2.87596987e-02,6.35480000e-01,6.35480000e-01
G50_t2p7_nlon8_nlat6,2.7,8,6,2,6.1,13.3,1.19,1.1,66,30,2.99206529e-02,6.38630000e-01,6.38630000e-01
G52_t2p58_nlon7_nlat6,2.58,7,6,2,10.3,14.2,0.99,0.99,67,32,2.97725709e-02,6.53960000e-01,6.53960000e-01
G54_t2p59_nlon9_nlat7,2.59,9,7,2,7.2,13.7,1.11,1.18,64,29,2.94232927e-02,6.49030000e-01,6.49030000e-01
G55_t2p54_nlon7_nlat8,2.54,7,8,2,8.6,10.3,1.26,0.86,64,36,3.02433777e-02,5.23260000e-01,5.23260000e-01
G57_t2p76_nlon9_nlat9,2.76,9,9,2,5.8,11.6,0.92,1.27,58,29,2.96046774e-02,5.61850000e-01,5.61850000e-01
G58_t2p71_nlon8_nlat9,2.71,8,9,2,10.2,10.1,1.25,1.03,59,36,3.33135740e-02,6.49310000e-01,6.49310000e-01
G59_t2p79_nlon7_nlat9,2.79,7,9,2,5.4,13.1,1.35,0.98,62,24,2.95891175e-02,6.21680000e-01,6.21680000e-01
G60_t2p48_nlon8_nlat7,2.48,8,7,2,5.6,10.2,1.42,1.04,59,37,2.92656569e-02,5.31280000e-01,5.31280000e-01
G61_t2p43_nlon8_nlat8,2.43,8,8,2,9.2,11.2,1.37,0.94,67,31,2.96487947e-02,5.98200000e-01,5.98200000e-01
G62_t2p73_nlon7_nlat7,2.73,7,7,2,9.6,12,1.04,1.13,65,28,3.04097444e-02,5.95470000e-01,5.95470000e-01
G63_t2p61_nlon5_nlat7,2.61,5,7,2,6.8,13.6,1.49,1.09,58,29,2.87109769e-02,6.68900000e-01,6.68900000e-01
G64_t2p42_nlon6_nlat7,2.42,6,7,2,8.9,13.4,0.93,1.14,66,37,2.79604791e-02,5.58300000e-01,5.58300000e-01
G66_t2p55_nlon9_nlat7,2.55,9,7,2,5.7,13,1.44,1.26,64,38,3.09050125e-02,6.27120000e-01,6.27120000e-01
G67_t2p51_nlon6_nlat9,2.51,6,9,2,8.3,13.9,1.29,1.29,63,31,2.86979627e-02,6.54910000e-01,6.54910000e-01
G68_t2p54_nlon5_nlat5,2.54,5,5,2,8.5,14.3,1.24,1.01,65,24,2.73577752e-02,6.28470000e-01,6.28470000e-01
G69_t2p74_nlon8_nlat7,2.74,8,7,2,10,10.6,1.33,0.83,58,28,3.25131296e-02,6.71620000e-01,6.71620000e-01
